INFO - 2021-12-16 18:01:43,887 - Trying to load test file:{'test_data_file': 'app/static/data/nation_2021-10-28.csv', 'location_local': 'Exeter', 'locationType_local': 'ltla', 'location_national': 'England', 'locationType_national': 'nation', 'custom_covid_terms': 'Covid COVID-19 coronavirus', 'news_api_key': 'fa911b96da8e420896662203b484274c'}
INFO - 2021-12-16 18:01:44,018 -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO - 2021-12-16 18:01:48,333 - 127.0.0.1 - - [16/Dec/2021 18:01:48] "[33mGET / HTTP/1.1[0m" 404 -
INFO - 2021-12-16 18:01:51,486 - Checking for cached data
INFO - 2021-12-16 18:01:51,486 - Requesting live data
DEBUG - 2021-12-16 18:01:51,490 - Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG - 2021-12-16 18:01:51,872 - https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22areaCode%22%3A%22areaCode%22%2C%22hospitalCases%22%3A%22hospitalCases%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22newCasesByPublishDate%22%3A%22newCasesByPublishDate%22%2C%22cumCasesByPublishDate%22%3A%22cumCasesByPublishDate%22%2C%22newDeaths28DaysByDeathDate%22%3A%22newDeaths28DaysByDeathDate%22%2C%22cumDeaths28DaysByDeathDate%22%3A%22cumDeaths28DaysByDeathDate%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG - 2021-12-16 18:01:51,880 - Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG - 2021-12-16 18:01:52,114 - https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22areaCode%22%3A%22areaCode%22%2C%22hospitalCases%22%3A%22hospitalCases%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22newCasesByPublishDate%22%3A%22newCasesByPublishDate%22%2C%22cumCasesByPublishDate%22%3A%22cumCasesByPublishDate%22%2C%22newDeaths28DaysByDeathDate%22%3A%22newDeaths28DaysByDeathDate%22%2C%22cumDeaths28DaysByDeathDate%22%3A%22cumDeaths28DaysByDeathDate%22%7D&format=json&page=2 HTTP/1.1" 204 0
INFO - 2021-12-16 18:01:52,137 - Managed to process local data
INFO - 2021-12-16 18:01:52,137 - Checking for cached data
INFO - 2021-12-16 18:01:52,137 - Requesting live data
DEBUG - 2021-12-16 18:01:52,139 - Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG - 2021-12-16 18:01:52,412 - https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DEngland%3BareaType%3Dnation&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22areaCode%22%3A%22areaCode%22%2C%22hospitalCases%22%3A%22hospitalCases%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22newCasesByPublishDate%22%3A%22newCasesByPublishDate%22%2C%22cumCasesByPublishDate%22%3A%22cumCasesByPublishDate%22%2C%22newDeaths28DaysByDeathDate%22%3A%22newDeaths28DaysByDeathDate%22%2C%22cumDeaths28DaysByDeathDate%22%3A%22cumDeaths28DaysByDeathDate%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG - 2021-12-16 18:01:52,420 - Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG - 2021-12-16 18:01:52,656 - https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DEngland%3BareaType%3Dnation&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22areaCode%22%3A%22areaCode%22%2C%22hospitalCases%22%3A%22hospitalCases%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22newCasesByPublishDate%22%3A%22newCasesByPublishDate%22%2C%22cumCasesByPublishDate%22%3A%22cumCasesByPublishDate%22%2C%22newDeaths28DaysByDeathDate%22%3A%22newDeaths28DaysByDeathDate%22%2C%22cumDeaths28DaysByDeathDate%22%3A%22cumDeaths28DaysByDeathDate%22%7D&format=json&page=2 HTTP/1.1" 204 0
INFO - 2021-12-16 18:01:52,661 - Managed to process national data
INFO - 2021-12-16 18:01:52,668 - 127.0.0.1 - - [16/Dec/2021 18:01:52] "GET /index HTTP/1.1" 200 -
INFO - 2021-12-16 18:01:52,780 - 127.0.0.1 - - [16/Dec/2021 18:01:52] "[36mGET /static/images/titleimage.png HTTP/1.1[0m" 304 -
INFO - 2021-12-16 18:01:55,778 - 127.0.0.1 - - [16/Dec/2021 18:01:55] "[36mGET /static/images/favicon.png HTTP/1.1[0m" 304 -
INFO - 2021-12-16 18:02:02,859 - Checking for cached data
INFO - 2021-12-16 18:02:02,860 - found cached data
INFO - 2021-12-16 18:02:02,860 - Managed to process local data
INFO - 2021-12-16 18:02:02,860 - Checking for cached data
INFO - 2021-12-16 18:02:02,860 - found cached data
INFO - 2021-12-16 18:02:02,861 - Managed to process national data
INFO - 2021-12-16 18:02:02,861 - Scheduling a run in:86398.0
INFO - 2021-12-16 18:02:02,862 - 127.0.0.1 - - [16/Dec/2021 18:02:02] "GET /index?update=18%3A02&two=covid+data&covid-data=covid-data HTTP/1.1" 200 -
INFO - 2021-12-16 18:02:02,888 - 127.0.0.1 - - [16/Dec/2021 18:02:02] "[36mGET /static/images/titleimage.png HTTP/1.1[0m" 304 -
INFO - 2021-12-16 18:02:04,488 - Checking for cached data
INFO - 2021-12-16 18:02:04,490 - found cached data
INFO - 2021-12-16 18:02:04,490 - Managed to process local data
INFO - 2021-12-16 18:02:04,491 - Checking for cached data
INFO - 2021-12-16 18:02:04,491 - found cached data
INFO - 2021-12-16 18:02:04,491 - Managed to process national data
INFO - 2021-12-16 18:02:04,492 - 127.0.0.1 - - [16/Dec/2021 18:02:04] "GET /index?update_item=covid+data HTTP/1.1" 200 -
INFO - 2021-12-16 18:02:04,531 - 127.0.0.1 - - [16/Dec/2021 18:02:04] "[36mGET /static/images/titleimage.png HTTP/1.1[0m" 304 -
INFO - 2021-12-16 18:02:07,124 - Checking for cached data
INFO - 2021-12-16 18:02:07,125 - found cached data
INFO - 2021-12-16 18:02:07,125 - Managed to process local data
INFO - 2021-12-16 18:02:07,125 - Checking for cached data
INFO - 2021-12-16 18:02:07,126 - found cached data
INFO - 2021-12-16 18:02:07,126 - Managed to process national data
INFO - 2021-12-16 18:02:07,128 - 127.0.0.1 - - [16/Dec/2021 18:02:07] "GET /index?update_item=covid+data HTTP/1.1" 200 -
INFO - 2021-12-16 18:02:07,150 - 127.0.0.1 - - [16/Dec/2021 18:02:07] "[36mGET /static/images/titleimage.png HTTP/1.1[0m" 304 -
INFO - 2021-12-16 18:02:07,162 - 127.0.0.1 - - [16/Dec/2021 18:02:07] "[36mGET /static/images/favicon.png HTTP/1.1[0m" 304 -
INFO - 2021-12-16 18:02:08,960 - Checking for cached data
INFO - 2021-12-16 18:02:08,960 - found cached data
INFO - 2021-12-16 18:02:08,961 - Managed to process local data
INFO - 2021-12-16 18:02:08,961 - Checking for cached data
INFO - 2021-12-16 18:02:08,961 - found cached data
INFO - 2021-12-16 18:02:08,961 - Managed to process national data
INFO - 2021-12-16 18:02:08,963 - 127.0.0.1 - - [16/Dec/2021 18:02:08] "GET /index?update_item=covid+data HTTP/1.1" 200 -
INFO - 2021-12-16 18:02:08,983 - 127.0.0.1 - - [16/Dec/2021 18:02:08] "[36mGET /static/images/titleimage.png HTTP/1.1[0m" 304 -
INFO - 2021-12-16 18:02:09,004 - 127.0.0.1 - - [16/Dec/2021 18:02:09] "[36mGET /static/images/favicon.png HTTP/1.1[0m" 304 -
INFO - 2021-12-16 18:02:09,829 - Checking for cached data
INFO - 2021-12-16 18:02:09,830 - found cached data
INFO - 2021-12-16 18:02:09,831 - Managed to process local data
INFO - 2021-12-16 18:02:09,831 - Checking for cached data
INFO - 2021-12-16 18:02:09,831 - found cached data
INFO - 2021-12-16 18:02:09,832 - Managed to process national data
INFO - 2021-12-16 18:02:09,832 - 127.0.0.1 - - [16/Dec/2021 18:02:09] "GET /index?update_item=covid+data HTTP/1.1" 200 -
INFO - 2021-12-16 18:02:09,850 - 127.0.0.1 - - [16/Dec/2021 18:02:09] "[36mGET /static/images/titleimage.png HTTP/1.1[0m" 304 -
INFO - 2021-12-16 18:02:09,869 - 127.0.0.1 - - [16/Dec/2021 18:02:09] "[36mGET /static/images/favicon.png HTTP/1.1[0m" 304 -
INFO - 2021-12-16 18:02:16,355 - Checking for cached data
INFO - 2021-12-16 18:02:16,355 - found cached data
INFO - 2021-12-16 18:02:16,356 - Managed to process local data
INFO - 2021-12-16 18:02:16,356 - Checking for cached data
INFO - 2021-12-16 18:02:16,356 - found cached data
INFO - 2021-12-16 18:02:16,357 - Managed to process national data
INFO - 2021-12-16 18:02:16,359 - 127.0.0.1 - - [16/Dec/2021 18:02:16] "GET /index HTTP/1.1" 200 -
INFO - 2021-12-16 18:02:16,386 - 127.0.0.1 - - [16/Dec/2021 18:02:16] "[36mGET /static/images/titleimage.png HTTP/1.1[0m" 304 -
INFO - 2021-12-16 18:02:53,979 - Checking for cached data
INFO - 2021-12-16 18:02:53,980 - found cached data
INFO - 2021-12-16 18:02:53,981 - Managed to process local data
INFO - 2021-12-16 18:02:53,982 - Checking for cached data
INFO - 2021-12-16 18:02:53,984 - found cached data
INFO - 2021-12-16 18:02:53,985 - Managed to process national data
INFO - 2021-12-16 18:02:53,986 - 127.0.0.1 - - [16/Dec/2021 18:02:53] "GET /index?update_item=covid+data HTTP/1.1" 200 -
INFO - 2021-12-16 18:02:54,016 - 127.0.0.1 - - [16/Dec/2021 18:02:54] "[36mGET /static/images/titleimage.png HTTP/1.1[0m" 304 -
INFO - 2021-12-16 18:03:03,172 - Checking for cached data
INFO - 2021-12-16 18:03:03,173 - found cached data
INFO - 2021-12-16 18:03:03,173 - Managed to process local data
INFO - 2021-12-16 18:03:03,174 - Checking for cached data
INFO - 2021-12-16 18:03:03,174 - found cached data
INFO - 2021-12-16 18:03:03,175 - Managed to process national data
INFO - 2021-12-16 18:03:03,176 - 127.0.0.1 - - [16/Dec/2021 18:03:03] "GET /index HTTP/1.1" 200 -
INFO - 2021-12-16 18:03:03,201 - 127.0.0.1 - - [16/Dec/2021 18:03:03] "[36mGET /static/images/titleimage.png HTTP/1.1[0m" 304 -
INFO - 2021-12-16 18:03:05,919 - Checking for cached data
INFO - 2021-12-16 18:03:05,920 - found cached data
INFO - 2021-12-16 18:03:05,920 - Managed to process local data
INFO - 2021-12-16 18:03:05,921 - Checking for cached data
INFO - 2021-12-16 18:03:05,921 - found cached data
INFO - 2021-12-16 18:03:05,921 - Managed to process national data
INFO - 2021-12-16 18:03:05,921 - 127.0.0.1 - - [16/Dec/2021 18:03:05] "GET /index HTTP/1.1" 200 -
INFO - 2021-12-16 18:03:05,945 - 127.0.0.1 - - [16/Dec/2021 18:03:05] "[36mGET /static/images/titleimage.png HTTP/1.1[0m" 304 -
INFO - 2021-12-16 18:03:06,104 - 127.0.0.1 - - [16/Dec/2021 18:03:06] "[36mGET /static/images/favicon.png HTTP/1.1[0m" 304 -
INFO - 2021-12-16 18:03:17,545 - Checking for cached data
INFO - 2021-12-16 18:03:17,545 - found cached data
INFO - 2021-12-16 18:03:17,545 - Managed to process local data
INFO - 2021-12-16 18:03:17,546 - Checking for cached data
INFO - 2021-12-16 18:03:17,546 - found cached data
INFO - 2021-12-16 18:03:17,546 - Managed to process national data
INFO - 2021-12-16 18:03:17,548 - 127.0.0.1 - - [16/Dec/2021 18:03:17] "GET /index?update_item=covid+data HTTP/1.1" 200 -
INFO - 2021-12-16 18:03:17,578 - 127.0.0.1 - - [16/Dec/2021 18:03:17] "[36mGET /static/images/titleimage.png HTTP/1.1[0m" 304 -
INFO - 2021-12-16 18:04:17,670 - Checking for cached data
INFO - 2021-12-16 18:04:17,671 - found cached data
INFO - 2021-12-16 18:04:17,671 - Managed to process local data
INFO - 2021-12-16 18:04:17,671 - Checking for cached data
INFO - 2021-12-16 18:04:17,671 - found cached data
INFO - 2021-12-16 18:04:17,672 - Managed to process national data
INFO - 2021-12-16 18:04:17,672 - 127.0.0.1 - - [16/Dec/2021 18:04:17] "GET /index HTTP/1.1" 200 -
INFO - 2021-12-16 18:04:17,686 - 127.0.0.1 - - [16/Dec/2021 18:04:17] "[36mGET /static/images/titleimage.png HTTP/1.1[0m" 304 -
